	#Gene_ID	ES2050	ES569	ES2483	ES2162	ES2329	ES2431	ES2160	ES2076	ES568	ES566	ES567	ES2484	ES2341	ES2049
50636	ENSG00000265214	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50637	ENSG00000226401	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50638	ENSG00000226411	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50639	ENSG00000271466	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50640	ENSG00000227397	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50641	ENSG00000236574	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50642	ENSG00000225451	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50643	ENSG00000236299	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50644	ENSG00000235720	22	6	27	22	17	22	14	18	16	19	13	13	22	9
50645	ENSG00000226581	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50646	ENSG00000263891	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50647	ENSG00000226342	24	13	6	9	23	11	16	21	16	16	20	26	17	9
50648	ENSG00000227910	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50649	ENSG00000265017	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50650	ENSG00000213645	0	0	0	0	0	0	1	1	0	0	0	0	0	0
50651	ENSG00000233173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50652	ENSG00000231264	0	0	0	0	0	0	0	1	0	0	0	0	0	0
50653	ENSG00000228660	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50654	ENSG00000230639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50655	ENSG00000176232	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50656	ENSG00000241149	0	0	0	0	0	0	0	0	0	0	0	0	0	1
50657	ENSG00000228564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50658	ENSG00000257482	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50659	ENSG00000214652	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50660	ENSG00000214652	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50661	ENSG00000223558	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50662	ENSG00000224458	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50663	ENSG00000248704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50664	ENSG00000248315	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50665	ENSG00000230052	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50666	ENSG00000233385	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50667	ENSG00000227035	0	1	0	0	0	0	0	0	0	0	0	0	0	0
50668	ENSG00000234234	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50669	ENSG00000234700	0	0	0	0	0	0	0	1	0	0	0	0	0	0
50670	ENSG00000230252	0	0	0	0	0	0	0	1	0	0	0	0	0	0
50671	ENSG00000235646	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50672	ENSG00000229881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50673	ENSG00000236976	1	0	1	0	0	1	3	1	0	0	2	2	2	1
50674	ENSG00000213643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50675	ENSG00000235227	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50676	ENSG00000213644	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50677	ENSG00000223614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50678	ENSG00000197123	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50679	ENSG00000234444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50680	ENSG00000227986	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50681	ENSG00000232727	8	4	6	7	6	4	3	6	11	6	6	7	9	4
50682	ENSG00000223845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50683	ENSG00000228014	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50684	ENSG00000228653	1	2	1	0	1	2	6	1	1	2	3	2	2	1
50685	ENSG00000173041	81	41	42	46	50	41	22	1	106	87	102	65	104	27
50686	ENSG00000223974	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50687	ENSG00000235349	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50688	ENSG00000213642	0	0	1	0	3	1	1	0	0	1	0	0	0	0
50689	ENSG00000224669	0	0	0	1	0	0	0	0	0	0	0	0	0	0
50690	ENSG00000196247	94	31	92	116	127	64	70	21	33	99	51	118	20	51
50691	ENSG00000271550	0	0	0	0	0	0	0	0	0	1	0	2	0	0
50692	ENSG00000224172	21	5	30	5	10	4	16	7	9	9	6	10	33	14
